image_link,title,text,post_time
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Design’s new frontier,"Mechanical engineers are using cutting-edge computing techniques to re-imagine how the products, systems, and infrastructures we use are designed.","November 19, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,MIT Lincoln Laboratory wins nine R&D 100 Awards for 2021,"A life-detecting radar, a microscale motor, and a quantum network architecture are among this year's most innovative new technologies.","November 17, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Dexterous robotic hands manipulate thousands of objects with ease,"Model-free framework reorients over 2,000 diverse objects with a hand facing both upward and downward, in a step toward more human-like manipulation.","November 12, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Toward speech recognition for uncommon spoken languages,Reducing the complexity of a powerful machine-learning model may help level the playing field for automatic speech-recognition around the world.,"November 4, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,3 Questions: Blending computing with other disciplines at MIT,The Common Ground for Computing Education is facilitating collaborations to develop new classes for students to pursue computational knowledge within the context of their fields of interest.,"November 2, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Avoiding shortcut solutions in artificial intelligence,"A new method forces a machine learning model to focus on more data when learning a task, which leads to more reliable predictions.","November 2, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Taming the data deluge,"A National Science Foundation-funded team will use artificial intelligence to speed up discoveries in physics, astronomy, and neuroscience.","October 29, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Making machine learning more useful to high-stakes decision makers,A visual analytics tool helps child welfare specialists understand machine learning predictions that can assist them in screening cases.,"October 28, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Artificial intelligence sheds light on how the brain processes language,Neuroscientists find the internal workings of next-word prediction models resemble those of language-processing centers in the brain.,"October 25, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Saving seaweed with machine learning,PhD candidate Charlene Xia is developing a low-cost system to monitor the microbiome of seaweed farms and identify diseases before they spread.,"October 22, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,One giant leap for the mini cheetah,"A new control system, demonstrated using MIT’s robotic mini cheetah, enables four-legged robots to jump across uneven terrain in real-time.","October 20, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Artificial networks learn to smell like the brain,"When asked to classify odors, artificial neural networks adopt a structure that closely resembles that of the brain’s olfactory circuitry.","October 18, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Putting artificial intelligence at the heart of health care — with help from MIT ,Cardiologist Demilade Adedinsewo is using her MIT Professional Education experience to advance cardiovascular care at the Mayo Clinic.,"October 15, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,Accelerating the discovery of new materials for 3D printing,"A new machine-learning system costs less, generates less waste, and can be more innovative than manual discovery methods.","October 15, 2021"
/themes/mit/src/img/placeholder/placeholder--frontpage--featured-news.jpg,These neural networks know what they’re doing,A certain type of artificial intelligence agent can learn the cause-and-effect basis of a navigation task during training.,"October 14, 2021"
